"","ABCA7","ABI3","ACTB","ADA2","ADAM10","ADGRG1","AIF1","APOE","AXL","BIN1","C1QA","C1QB","C1QC","C3AR1","C9orf72","CCR2","CD14","CD180","CD1D","CD226","CD300A","CD300C","CD300LB","CD300LF","CD33","CD40","CD44","CD48","CD52","CD58","CD68","CD69","CD80","CD81","CD86","CHRNE","CLEC2B","CLECL1","CLIC1","CLN3","CLU","CR1","CR2","CSF1R","CSF2RB","CTSB","CTSH","CXCR3","CXCR4","DPYD","FCER1G","FCGR1A","FCGR2A","FCGR3A","FERMT3","FLT1","FOLR2","FPR2","FPR3","GBA","GPNMB","GPR183","HEXB","HLA.DRB5","ICAM1","ICAM3","IFNGR1","IL10","IL15","IL15RA","IL1R1","IL1R2","IL1RN","IL21R","IL23A","IL2RA","IL2RG","IL6R","IRF5","IRF8","ITGAL","ITGAM","ITGAX","ITGB2","ITGB3","ITM2B","ITM2C","LAPTM5","LDLR","LDLRAD3","LILRA5","LILRB4","LPL","LRP1B","LRP6","LRP8","LRRK2","LSR","LTBR","LYZ","MMP9","MRC1","MRC2","MS4A4A","NFATC1","NFATC2","NLRC4","NLRP3","NPC2","NRP1","OLR1","P2RY12","P2RY13","P2RY6","PILRA","PLAUR","PLCB3","PLCG2","PLEK","PTPRC","RYR1","S100A4","SCARB1","SCIMP","SELL","SELPLG","SIRPA","SLC24A4","SNCA","SORL1","SPI1","SQSTM1","SYK","TGFB1","TGFBI","TGFBR2","TGFBR3","TLR10","TLR5","TLR7","TMEM106A","TMEM106B","TNFRSF10B","TNFRSF1A","TP53","TREM1","TREM2","TYRO3","TYROBP","UNC13D","VDR","VENTX","VLDLR"
"APOEuptake",-0.48647560143279,-0.716261329511493,-1.11257733296081,-0.837609598968334,0.480896585025369,1.76325791408223,1.10423779180193,-0.225808970264596,4.5656158749761,-0.920330644026167,1.04185264943517,-0.658868835049088,-0.495127674392955,-0.703538857186609,-0.524659379610053,1.2968872037442,-1.57981167991268,1.00252520388044,-0.678744129071095,-0.582336566079675,-1.47773022848949,-0.807410533892796,-1.7054689416304,0.842282221595387,0.456250298010206,1.30795079261549,-0.852421844817751,-0.628280810787837,0.712072309957863,-1.25480378015939,4.32955640390369,0.572002914729206,-1.59095368211846,1.45930928861982,-1.27553484202096,-0.506850100567845,-1.2295117370338,2.02744425439567,1.04817062906936,0.826712561204227,-0.552420921314843,-0.995876818365662,0.361975953531366,-2.49025909700201,0.858040681739091,0.903595364834318,-1.46320972701589,0.114892916157144,-0.423363597410686,0.438215601498085,1.68632613426791,-0.543522650446732,-2.47770614146427,-1.60488098025291,-1.18821173885549,-1.1122283068755,0.640250125007096,2.5464653959533,0.783233510194749,0.765052975381992,-1.49111997065602,1.41468798058246,-1.15409798355087,-1.09679732459597,0.691231613501734,-1.32881200656333,-0.75125367977498,0.931819142671742,0.464625036286682,-1.9712700078874,0.524659379610053,-1.64722406084804,1.17062386571997,0.816769789134975,-1.77237095443178,0.863959753343086,-2.10415417962303,0.430585206012222,0.733489384568083,-2.13154827290442,-1.1456499999419,-0.769460474540401,-0.925838338216073,-1.01652384173061,-1.66688135009492,2.07781935994262,-0.256791153008705,-0.31631951528157,1.6656808408189,-0.390779809961655,1.20547495712565,-1.83670809227039,0.903595364834318,-0.184221109367227,-1.48429755000997,0.742606420862612,-0.478042438342114,-0.682947527682985,-1.74689242531336,-1.24527685595127,-0.886459442321149,1.54842502496344,-1.03031960262646,-1.35001865203269,1.16260451030067,1.24699317526455,0.66643984735975,-0.420678312280691,1.3808015070879,0.674411080656197,1.09016606226969,1.02868015137975,0.759756749565419,1.85900803131792,-0.943666691892684,0.301687891032996,-1.39767727974315,-1.361993298654,0.636086567683141,1.57619877831713,1.56309606948347,-0.275021136044484,-0.504186964245447,0.317980142185237,0.425955873676166,1.058055808159,0.995465326537397,1.59680132728781,-2.80605584295307,-0.47266808424078,-4.5656158749761,2.83539540111691,2.15538140844205,0.7979319177074,1.32004498232584,0.925838338216073,-1.12887634701006,1.07646353664328,1.1043530930867,0.975544982608038,0.826712561204227,0.395220723355666,-2.28749409005118,-1.42281428214156,0.691231613501734,0.769460474540401,-0.323508726186684,1.62052289628241,0.931819142671742,0.703538857186609,0.678744129071095,1.05468371976721,4.5656158749761
"BafA1",-1.52736610487737,0.175495889963657,-1.88973806882236,-0.543522650446732,0.628280810787837,0.773730803559559,2.0942018842809,0.367280229155419,0.42849606200964,-0.873684673128029,-1.9548142381457,1.3672402916526,-1.67009787766674,-0.559178360456073,0.956202375558077,0.503930808437016,-0.961461847311225,-0.903595364834318,-0.218281227630168,-0.777031815248074,-1.59113143228652,0.656643766798302,1.43211818831798,1.66060402538659,-0.92780255203155,-1.2737275194845,1.0735821531003,-1.69471762786918,-1.81372548163636,-1.55949190095858,-1.05104047677094,0.686655254825856,-1.90714355835961,-1.56514036824539,-0.938709333641178,0.335537051387077,-0.990520037826332,-0.662345223820357,1.06574263260067,0.567006154818573,-1.29604494741401,0.719813226833217,-0.880497239422459,2.26226557467873,-1.97468417411499,-1.91841824052487,0.576244397300326,1.14577080045324,-0.62255042137075,0.575637837933392,1.64819335497584,-0.842282221595387,-2.39988998429142,0.600474575608624,-1.71365013520387,0.27998371366247,-0.619222183219453,2.62555433763878,0.724987009344893,0.624651212398327,1.74448244444686,-1.65101750773092,1.1122283068755,-2.05957696740929,-0.702864815145375,0.977867219059569,0.340021947355118,1.1966833477745,-1.15519642105648,2.33283132300239,-0.692839946922054,0.678744129071095,-1.53959133065642,1.23642669064227,-0.557435377432267,0.917062290360376,-1.68808975912587,0.691231613501734,1.73462075949644,-0.755531732203674,-1.14889325320822,-1.03752768536137,-2.14107488060074,-0.843015097874565,-0.949827323245783,0.852421844817751,1.02693727684222,0.886459442321149,0.765052975381992,0.602291677078162,-0.731604501331682,-0.403854114830152,1.76101419772997,0.658868835049088,-0.416123000735968,-1.2456579431792,-0.382069249537714,0.831944982233862,0.975666012669722,-0.355052848056039,-0.82303164168283,0.869525073256714,-1.95675738101749,-0.696285583076526,1.47601449889858,1.46083765271516,-1.90400141421372,-2.07074106959439,0.742210182751112,-1.17062386571997,-0.632454394442852,1.81470016302664,-0.537300587057029,0.788336334271905,-1.72525792978635,-2.28919543023428,1.75989860445348,1.71213387459135,0.48064334998104,0.909455001933173,1.35461579012886,0.298161375047647,-0.44516571698321,-1.70450919344277,-1.1456499999419,-2.28273470828119,1.17947270302936,-1.29974027971071,-0.89349901384225,-1.93479057614915,4.5656158749761,-1.438190535124,-0.356855479925615,-1.11528105784934,1.10423779180193,1.84137925968088,3.19067673062591,1.60834335621167,1.629959769318,-1.0887140591622,1.06946542580134,1.43520039886131,1.55464768661702,1.3427590719947,-1.67866679898471,-2.15589327140441,-0.757550705459068,0.858040681739091,1.59068715107855,-1.13639807758228,-0.90293574158328,0.48941205948507,-0.578257919677905
"Bodipy",-0.450638657885071,-1.50715863586047,-1.85900803131792,-1.09679732459597,-2.31607818807701,-0.674411080656197,-1.7682387417536,1.53885376788337,-0.305244424483102,1.20547495712565,0.640250125007096,-0.247953997663497,2.33912432692184,2.54327105410381,-0.96889015104449,0.670561367747607,0.47003501679363,-0.42849606200964,-0.914507954619747,1.78567435492169,-1.44942117055935,0.483712388355378,1.3427590719947,-0.869525073256714,1.02367247590862,-0.937541669300035,-1.62991245928847,1.35461579012886,-2.14281445681019,1.16260451030067,-1.75989860445348,-1.42281428214156,1.21488488351435,-0.489171902428225,1.87008510899982,-0.589568463191834,-1.59680132728781,0.658868835049088,-0.89778534336537,0.695263793597936,1.55464768661702,-2.1965304241226,-0.874988799571498,-0.765052975381992,-0.392999297830229,-1.57981167991268,-0.416123000735968,0.319733978068432,1.50509365524744,-0.408849651307774,-0.765052975381992,1.06574263260067,1.51908937814689,0.847439850964496,-1.81347234649461,-1.46320972701589,-0.982872894054362,1.96753990602333,0.925838338216073,1.57347012769045,1.27553484202096,0.943666691892684,-2.00282570299023,-0.108927493159568,1.1456499999419,-0.530680790196249,-1.08182566542188,1.83670809227039,0.863959753343086,0.174426868453318,1.62821172251421,-0.530680790196249,0.909455001933173,-1.66688135009492,0.788233734822851,1.71213387459135,-1.93479057614915,-1.17947270302936,-1.00252520388044,0.837609598968334,0.738204810666228,1.04427105636757,0.258345854827085,0.231649831637037,-1.22620909388692,-0.682947527682985,-1.32881200656333,2.32010865972825,0.949827323245783,0.246545483528743,0.662345223820357,1.49214933858224,2.42913250004058,2.09453891780608,-1.12887634701006,-0.914507954619747,-0.712072309957863,-0.773730803559559,0.880497239422459,0.578969134323927,-0.323508726186684,-0.186656454790976,-1.25480378015939,2.19890047278687,-2.10415417962303,1.12887634701006,0.75125367977498,-1.28560772318719,-1.1966833477745,0.707686440026822,-0.995876818365662,-1.47601449889858,1.81372548163636,-1.1456499999419,-1.361993298654,1.09679732459597,-1.38008654341581,1.68808975912587,-1.17062386571997,-1.41824242358293,1.43211818831798,-2.80605584295307,-0.624651212398327,1.78931561928289,0.504186964245447,0.874988799571498,0.995876818365662,-1.84137925968088,-1.64722406084804,-0.778812794091238,1.39177679151715,-0.880497239422459,0.62133382896259,-0.707686440026822,1.47773022848949,-0.593151152238749,1.49111997065602,-1.18821173885549,-1.68498223000358,1.16260451030067,0.388589277399668,-1.2968872037442,1.73462075949644,-1.7054689416304,-1.35001865203269,-0.724987009344893,1.32139407684099,-1.30795079261549,-1.40993119644545,1.26656744263832,-0.22105449689477,1.72492494189176,-0.903595364834318
"DQBSA",-0.401978295183556,-0.416123000735968,0.832210744834941,-0.16908472451608,1.41329160959066,-0.738204810666228,1.67963681607747,-1.05053980505906,3.5313975231243,-1.12887634701006,0.712072309957863,-0.518714282960319,0.930117984612515,-1.3520478766042,-1.47437742206949,2.01980132175376,1.40746347692962,-0.703538857186609,1.33309692003509,0.984438410572354,0.925838338216073,0.860814895100436,-0.607001374451803,0.95697474959224,-0.249375932839658,-1.80360660438269,-3.05692529531854,0.699355324812891,-0.552420921314843,-0.96225804155274,0.885791297816926,0.759489153484359,-0.66643984735975,-1.23736932911663,-0.995876818365662,-0.386360094439776,-0.559178360456073,1.40047875821647,-0.31631951528157,-0.651149477760037,1.60866323048101,-1.87432967370279,1.13532302106307,2.32979478375514,1.30815718707991,0.836542105087233,-1.44645366193785,-1.09679732459597,0.808956792154131,0.875834521517708,0.81327571040169,4.5656158749761,1.42981542768128,1.9587932877048,-1.37943718806265,0.920330644026167,1.81990810785184,-1.34839926580928,0.614053461358184,1.84787795714207,1.43695774639092,1.06574263260067,-0.816769789134975,1.02367247590862,-0.386360094439776,-4.5656158749761,-2.26892314443465,1.58555628238048,-1.09768972039837,2.31426847356495,-0.682947527682985,0.66643984735975,-0.724987009344893,-2.10392488338263,1.08651773247594,0.565814335898337,0.804514324372329,1.17947270302936,-1.43323741709671,0.978817826408379,-2.02307903170704,0.537300587057029,-2.48723590255341,-1.95624754617793,0.91488881973717,1.77140727316783,-0.0674794767003115,-1.04427105636757,-1.27454594669748,-1.52881626114286,-2.79783114708129,-0.246545483528743,-1.59184293616192,-1.2447055639685,-1.82628728152137,1.07460859976244,1.40742973202547,-2.19125976351927,1.35136043908251,0.778812794091238,1.27612877844188,0.724987009344893,1.37230021095777,-0.914507954619747,0.90504792179096,-1.03752768536137,-0.988924668656704,-0.342240378812618,1.9056856668899,-0.589568463191834,-1.15409798355087,-0.7979319177074,-1.0735821531003,0.742556884723321,1.31747337494129,-1.12125343575419,0.593151152238749,0.850656849017923,-0.375309905732235,-2.07749387466539,0.889266259862982,0.527667693417369,4.5656158749761,-0.742606420862612,-0.847439850964496,-1.57502792049509,0.42849606200964,1.83853234631147,-0.273056219544591,0.951185929147725,-1.98675097370536,2.37738243784343,-0.773004022593141,-2.13118383749033,-2.19583158554427,-1.58094768476799,0.870513215993851,-1.46003665570902,-0.510102005867642,-1.23578094441428,-0.889266259862982,-1.1122283068755,1.73524171839142,1.16260451030067,1.22368786278942,-0.456250298010206,3.46364969186762,1.10962651646125,-0.331482576119841,-1.69977635886073,0.812229421931997,-0.858040681739091,-0.765052975381992
"Gcase_diff",0.831944982233862,-0.783233510194749,-1.12125343575419,0.89778534336537,0.874988799571498,0.982872894054362,1.32106407611603,-0.773730803559559,4.5656158749761,0.831944982233862,-0.773730803559559,-1.08964398419803,1.1966833477745,0.920330644026167,-0.285553660081569,0.788233734822851,-1.30795079261549,-0.406398257239038,-0.686655254825856,1.51908937814689,-0.914507954619747,0.995876818365662,0.716261329511493,0.298161375047647,-1.7054689416304,1.058055808159,-1.12887634701006,1.9712700078874,1.00252520388044,-2.36044550272118,-0.807410533892796,-0.425955873676166,-1.03031960262646,-4.5656158749761,-0.778812794091238,0.281861123919247,-0.682947527682985,1.21488488351435,0.96889015104449,-0.243742830001771,0.658868835049088,0.518714282960319,1.81392028008985,2.2230711894933,-0.527667693417369,-2.49025909700201,-1.1122283068755,0.769460474540401,1.49905254949912,0.565814335898337,2.57771148660382,-0.66643984735975,-1.21483245427604,0.943666691892684,0.858040681739091,-1.28560772318719,-1.18821173885549,-1.24527685595127,-0.413828104378562,2.78313138410905,0.678744129071095,0.632010524666898,-1.57981167991268,1.64722406084804,-1.72492494189176,-0.886459442321149,0.572002914729206,-1.4153018937664,-0.390779809961655,2.80605584295307,1.12125343575419,-1.88632627991634,0.852421844817751,-1.27553484202096,1.13716336199323,-1.10423779180193,-0.344380701836897,-1.46320972701589,0.435609606075159,1.29837064884252,-0.880497239422459,-1.62991245928847,-1.50509365524744,-1.058055808159,-1.44211476651317,1.5282116387773,-0.691231613501734,0.975666012669722,4.5656158749761,-1.39767727974315,1.91411862686197,-3.60366616624943,-1.35345599238636,-0.359808962995225,0.729117157819321,1.04427105636757,1.01652384173061,-1.35001865203269,1.342018491687,-1.08182566542188,0.651149477760037,1.27641176359644,-0.610395271032153,3.12999378758967,-1.47011725437425,-1.55940734063352,0.75125367977498,-0.925838338216073,0.892285358588157,-0.863959753343086,1.66169472172725,0.903595364834318,0.404044494682056,1.70206064704215,-1.361993298654,-0.603644530696195,1.02367247590862,2.3636888924374,0.842282221595387,-0.392999297830229,0.491999071395603,-0.837609598968334,-1.45582862690447,-1.26589688999431,1.66688135009492,-0.607001374451803,0.323508726186684,1.78931561928289,-1.33887920623461,-1.26656744263832,-4.32955640390369,1.60902900273832,2.49643120455302,0.36858108018633,0.886459442321149,0.96225804155274,1.74459724924328,-1.40993119644545,0.640250125007096,0.513159147562169,-1.20547495712565,-1.68498223000358,1.97988012668997,-1.0735821531003,0.956202375558077,-0.562478570657423,1.23642669064227,1.12887634701006,0.589568463191834,0.96225804155274,1.38989751609051,0.48647560143279,1.17062386571997
"LDLuptake",-0.247953997663497,-0.360103146307088,-1.97477224589786,1.42295224288754,1.04448728265002,0.835759881725079,-0.633342508076557,-0.276570394505552,4.5656158749761,0.767439922355654,1.2486858453374,-1.92237173106457,-0.688766849936691,-1.29199175478486,-1.00449516617519,0.779780646318525,1.12497412275731,0.581267768565371,-0.925742145066595,0.575578672750701,-0.620938634443601,0.876331215402437,-2.10346662247592,1.25634751994792,0.421048043469023,-0.923743265862416,-2.9163966631542,-1.43023354752772,-0.744787818699375,-1.92722175414527,4.5656158749761,0.464583151728615,1.1237007456277,1.26575726315208,-1.61898727991718,-0.916356391218085,0.488225675571457,1.50055769624369,0.543333794805404,-0.96987259850898,-0.740708837083204,1.2763834604812,0.497154648213342,0.540677339759046,1.68596780810127,-0.865690337941347,-1.24017682026713,1.39164475213307,-0.68925946754066,0.396074594017577,2.28424731981149,-1.1602918539227,-0.644779636620067,1.52934071964335,0.11567515182453,-0.810139507570865,0.656099664961765,-1.82443721574679,0.329258908878818,0.573198942976336,1.08155569552519,1.31875808848811,1.73327388579151,0.230349756315317,-1.56160954290829,-2.53173417698376,-1.25866875918161,1.51766052626527,1.05985625402114,2.63347523068436,-0.767120288926008,-1.13044205926917,-1.57937529733889,-1.15658977930138,1.28411991749657,0.637468072790096,2.01029477092834,-1.22647494034281,-2.05594311118208,-1.67698712263834,-2.69934553202929,-2.43441215327919,-1.0666055350742,-1.00403861769506,1.33709999141172,1.49536197017942,-0.663594310082484,-0.536750453643374,4.5656158749761,-1.1889991535913,-1.14143246766186,-1.56989302745797,1.13486950205455,-0.79770793157972,-0.817172247433833,0.536243895493728,0.66212673998664,-0.841032013792783,1.36532794377589,-0.143519388433466,0.830121663374489,1.42575179465708,-0.829750257400322,-2.24268708573833,-1.29749768829888,0.55142845347423,1.36621975103167,1.02919085243958,1.15823046266805,-1.76991080842202,1.45272544234244,-0.404887781625633,-0.251044117838063,-1.82503332883564,0.501243163704531,-0.338216556504471,-1.2339004549277,-1.40225202845939,0.529714345744337,-1.09107473256674,1.73092579639093,-0.902672002263203,4.5656158749761,-0.876055247672883,-0.375982373699749,-1.0332861645221,1.11194918352984,1.08045413562099,-1.55380892923096,1.3400472006674,-4.5656158749761,2.75209135110583,1.07162166125611,0.483360203586584,-0.823119571686518,1.76847816110148,2.20312414261971,-0.673042897965702,-0.549430569650989,0.711507185019804,1.19220722796483,0.278524187985257,-2.08975292577143,0.232847276986203,1.37535955947042,-1.05875801284714,3.28195515198386,1.26263606672367,0.877822596038015,-1.08117337305448,-0.532254125797417,1.36523245738372,-0.953592408424165
"LLOMe",-2.04319639982706,0.490189231715209,-0.896604492483731,0.892285358588157,1.1122283068755,-0.631383197009202,-1.01909050809952,-1.23441044193759,0.504186964245447,-1.52271509405172,-1.24142171869416,1.62821172251421,1.32729837859609,0.75125367977498,0.637867400759962,-1.77519921084655,0.600084382910704,-0.935792565579455,0.724987009344893,-0.749194472909591,-2.53019238385703,0.518714282960319,1.16591206609329,-1.09679732459597,-0.208536610341029,-2.97566922857011,1.68081939611085,-1.26271950993801,1.53885376788337,0.547624155115652,2.0942018842809,-1.2542256480189,1.66723341894284,1.38008654341581,-2.13324052886047,0.778812794091238,-1.22027669845876,0.802333619450491,1.96753990602333,1.34130945890947,-0.819800229869776,-0.847727046709097,-1.54168565298372,0.82153780384893,-1.64819335497584,2.26226557467873,-1.44659638243122,0.931819142671742,-1.29787584976909,-1.07024287511859,2.52624210493466,0.647172974792791,-3.14718610576332,1.27641176359644,-1.43211818831798,0.712072309957863,0.384078859152558,-0.852025390251329,0.831944982233862,-1.83133873157193,-0.575637837933392,1.01652384173061,1.20547495712565,-0.738204810666228,-0.22105449689477,-2.25712924448623,-1.39260258796333,0.847439850964496,1.60161848784988,1.32139407684099,-0.935967347087685,-2.29126658454791,-1.36139150265913,0.788233734822851,1.22620909388692,1.50229863898051,-1.19052527998281,-1.02819098116419,1.59068715107855,2.33283132300239,-0.318876717691973,-1.46185846094848,-0.695183996870786,1.30998769005117,2.14206813030444,0.62133382896259,-1.04427105636757,-0.807410533892796,2.19723033708179,-0.928593098246002,0.816769789134975,-1.04370909639606,1.7258077784004,-0.389670788179557,-0.604893142315014,-1.87008510899982,-3.57996517643757,0.546561536842178,-2.50353361309589,-1.18085583181609,-2.63628620917222,-0.670294613813934,-2.01312957140648,-1.53359223421191,-1.28443440855086,1.15409798355087,-1.05104047677094,-3.31960778020197,-0.698795245927197,-1.75807940195302,1.38897615844374,-0.773730803559559,1.11855507088324,-1.56586596167062,-0.602862747345578,1.20392129551996,0.837609598968334,-0.852421844817751,-1.28678281035221,-1.59756419614546,0.513159147562169,-0.446757722109217,0.678744129071095,-1.34208017860208,-0.516149496936653,-0.958461691176844,0.826712561204227,-1.258862502087,-0.294782546731901,-1.41646296512264,1.08182566542188,0.278524187985257,1.00252520388044,-0.600624674066586,-1.1966833477745,2.41898224198115,1.3672402916526,1.47601449889858,0.709184485302568,-0.92826524038904,1.78567435492169,2.05100972186223,-0.592792541292741,-1.37933983491479,0.706350814847438,-1.01044946343771,-1.49785856882554,0.825707564781586,1.06574263260067,0.658868835049088,0.555386974548634,-1.652238209794,-0.545528623094656
